iter	Passed	Remaining
0	1	99
1	1	90
2	2	85
3	3	79
4	4	78
5	4	77
6	5	76
7	6	75
8	7	74
9	8	73
10	9	73
11	9	72
12	10	71
13	11	70
14	12	69
15	13	68
16	14	68
17	15	68
18	16	68
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	45	38
54	46	37
55	46	36
56	47	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	58	24
70	59	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	19
76	63	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	82	0
