iter	Passed	Remaining
0	120	120428
1	121	60831
2	123	41023
3	124	30996
4	125	24969
5	126	21013
6	128	18168
7	129	16004
8	130	14322
9	130	12968
10	132	11884
11	133	11006
12	135	10254
13	136	9578
14	137	9017
15	138	8533
16	140	8105
17	141	7703
18	142	7341
19	143	7025
20	144	6735
21	145	6474
22	146	6244
23	148	6025
24	149	5822
25	150	5627
26	151	5458
27	152	5299
28	153	5146
29	154	5004
30	155	4871
31	156	4748
32	158	4638
33	159	4533
34	160	4428
35	161	4327
36	162	4230
37	163	4142
38	164	4060
39	165	3980
40	166	3901
41	167	3829
42	168	3757
43	169	3690
44	171	3630
45	172	3572
46	173	3513
47	174	3458
48	175	3405
49	176	3352
50	177	3304
51	178	3254
52	179	3207
53	180	3159
54	181	3114
55	182	3071
56	183	3032
57	184	2993
58	185	2955
59	186	2917
60	187	2882
61	188	2847
62	189	2812
63	190	2787
64	191	2754
65	192	2723
66	193	2691
67	194	2661
68	195	2632
69	196	2611
70	197	2584
71	198	2556
72	199	2530
73	200	2504
74	201	2479
75	202	2467
76	203	2445
77	204	2421
78	205	2398
79	206	2375
80	207	2353
81	208	2338
82	209	2313
83	210	2294
84	211	2274
85	212	2254
86	213	2235
87	214	2219
88	215	2201
89	216	2184
90	216	2167
91	217	2150
92	218	2133
93	219	2116
94	220	2100
95	221	2085
96	222	2069
97	223	2053
98	223	2038
99	224	2023
100	225	2009
101	226	1996
102	227	1982
103	228	1968
104	229	1955
105	230	1941
106	231	1929
107	232	1917
108	233	1906
109	234	1894
110	234	1882
111	235	1869
112	236	1858
113	237	1846
114	238	1834
115	239	1823
116	240	1812
117	241	1801
118	241	1790
119	242	1780
120	243	1769
121	244	1758
122	245	1748
123	246	1740
124	247	1730
125	248	1721
126	248	1710
127	249	1700
128	250	1691
129	251	1682
130	252	1673
131	253	1664
132	253	1655
133	254	1646
134	255	1638
135	256	1629
136	257	1620
137	258	1612
138	259	1608
139	260	1599
140	261	1592
141	261	1582
142	262	1574
143	263	1566
144	264	1559
145	265	1552
146	266	1545
147	267	1537
148	267	1530
149	268	1523
150	269	1516
151	271	1512
152	272	1505
153	272	1499
154	273	1492
155	274	1485
156	275	1479
157	276	1473
158	277	1468
159	278	1461
160	279	1453
161	279	1447
162	280	1441
163	281	1435
164	282	1429
165	283	1424
166	284	1418
167	285	1411
168	285	1405
169	286	1399
170	287	1394
171	288	1388
172	289	1382
173	290	1377
174	290	1371
175	291	1365
176	292	1359
177	293	1354
178	294	1348
179	294	1343
180	295	1338
181	296	1333
182	297	1327
183	298	1322
184	299	1317
185	299	1311
186	300	1306
187	301	1302
188	302	1297
189	303	1292
190	304	1287
191	304	1282
192	305	1277
193	306	1273
194	307	1269
195	308	1265
196	309	1260
197	310	1255
198	310	1251
199	311	1246
200	312	1241
201	313	1237
202	314	1233
203	315	1229
204	315	1225
205	316	1220
206	317	1216
207	318	1212
208	319	1207
209	319	1203
210	320	1199
211	321	1196
212	322	1192
213	323	1189
214	324	1184
215	325	1180
216	326	1177
217	327	1173
218	328	1169
219	328	1165
220	329	1162
221	330	1158
222	331	1154
223	332	1150
224	333	1147
225	333	1143
226	334	1140
227	335	1136
228	336	1132
229	337	1129
230	338	1125
231	339	1122
232	339	1118
233	340	1115
234	341	1111
235	342	1107
236	343	1104
237	343	1100
238	344	1097
239	345	1093
240	346	1090
241	347	1087
242	347	1083
243	348	1080
244	349	1077
245	350	1073
246	351	1070
247	352	1067
248	352	1064
249	353	1061
250	354	1058
251	355	1055
252	356	1052
253	357	1050
254	358	1047
255	359	1044
256	360	1041
257	361	1038
258	362	1035
259	363	1033
260	364	1031
261	365	1028
262	366	1026
263	367	1025
264	368	1022
265	369	1020
266	370	1017
267	371	1014
268	372	1011
269	373	1009
270	374	1006
271	374	1003
272	375	1000
273	376	998
274	377	995
275	378	992
276	379	990
277	380	987
278	381	985
279	382	982
280	383	980
281	383	977
282	384	974
283	385	972
284	386	969
285	387	966
286	388	964
287	389	963
288	390	960
289	391	958
290	392	955
291	393	953
292	394	951
293	395	948
294	396	946
295	396	943
296	397	941
297	398	939
298	399	936
299	400	933
300	401	931
301	402	929
302	402	926
303	403	924
304	404	922
305	405	919
306	406	917
307	407	914
308	408	912
309	408	910
310	409	907
311	410	905
312	411	902
313	412	900
314	413	898
315	414	896
316	415	894
317	415	892
318	416	889
319	417	887
320	418	885
321	419	882
322	420	880
323	421	878
324	422	876
325	423	874
326	423	872
327	424	870
328	425	868
329	426	865
330	427	863
331	428	861
332	429	859
333	430	857
334	430	855
335	431	853
336	432	851
337	433	848
338	434	846
339	435	844
340	435	842
341	436	840
342	437	838
343	438	836
344	439	834
345	440	832
346	441	830
347	442	828
348	443	826
349	443	824
350	444	822
351	445	820
352	446	818
353	447	816
354	448	814
355	449	812
356	449	810
357	450	808
358	451	806
359	452	804
360	453	802
361	454	800
362	455	798
363	456	797
364	457	795
365	458	793
366	458	791
367	459	789
368	460	787
369	461	785
370	462	784
371	463	782
372	464	780
373	465	778
374	465	776
375	466	774
376	467	772
377	468	770
378	469	768
379	470	767
380	470	765
381	471	763
382	472	761
383	473	759
384	474	757
385	475	755
386	476	754
387	477	752
388	477	750
389	479	749
390	479	747
391	480	745
392	481	744
393	482	742
394	483	740
395	484	739
396	485	737
397	486	735
398	487	733
399	488	732
400	489	730
401	489	728
402	490	726
403	491	725
404	492	723
405	493	721
406	494	720
407	495	718
408	496	717
409	497	715
410	497	713
411	498	711
412	499	710
413	500	708
414	501	706
415	502	705
416	503	703
417	503	701
418	504	699
419	505	698
420	506	696
421	507	695
422	508	693
423	509	691
424	510	690
425	510	688
426	511	686
427	512	685
428	513	683
429	514	682
430	515	680
431	516	678
432	517	677
433	518	675
434	519	674
435	519	672
436	520	670
437	521	669
438	522	667
439	523	666
440	524	664
441	525	663
442	526	661
443	527	660
444	528	658
445	529	657
446	529	655
447	530	654
448	531	652
449	532	651
450	533	650
451	534	648
452	535	647
453	537	645
454	538	644
455	539	643
456	540	641
457	541	640
458	542	639
459	543	637
460	544	636
461	545	634
462	546	633
463	546	631
464	547	630
465	548	628
466	549	627
467	550	625
468	551	624
469	552	622
470	552	621
471	553	619
472	554	617
473	555	616
474	556	614
475	557	613
476	557	611
477	558	610
478	559	608
479	560	607
480	561	605
481	562	604
482	563	602
483	563	601
484	564	599
485	565	598
486	566	596
487	567	595
488	568	593
489	569	592
490	569	590
491	570	589
492	571	587
493	572	586
494	573	584
495	574	583
496	575	582
497	575	580
498	576	579
499	577	577
500	578	576
501	579	574
502	580	573
503	581	571
504	581	570
505	582	568
506	583	567
507	584	566
508	585	564
509	586	563
510	587	562
511	588	560
512	589	559
513	590	558
514	591	556
515	592	555
516	592	553
517	593	552
518	594	551
519	595	549
520	596	548
521	597	546
522	598	545
523	598	544
524	599	542
525	600	541
526	601	539
527	602	538
528	603	537
529	604	535
530	604	534
531	605	532
532	606	531
533	607	530
534	608	528
535	609	527
536	610	526
537	610	524
538	611	523
539	612	521
540	613	520
541	614	519
542	615	517
543	616	516
544	616	515
545	617	513
546	618	512
547	619	511
548	620	509
549	621	508
550	622	507
551	623	505
552	623	504
553	624	503
554	625	501
555	626	500
556	627	499
557	628	497
558	629	496
559	629	494
560	630	493
561	631	492
562	632	491
563	633	489
564	634	488
565	635	486
566	635	485
567	636	484
568	637	483
569	638	482
